"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"statistics","ootime","killed","bfs-prev","sat-like","20","true","true","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","218.470","1202","13457","","","","","","","","","1787.30","4108916","","","","","","",
"statistics","ootime","killed","chain","sat-like","20","true","true","rwmutex-r1000w10.pnml","3020","2020","26040","0","tg,bs,hf","283.820","3020","2020","","","","","","","","","1796.40","2958540","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","closed_system2.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","16798","16798","3.010","349874","8904","1446","1944","1053","3.04","2898428",
"performance","ootime","killed","chain","sat-like","20","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.950","138","2348","","","","","","","","","1795.71","3009224","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","unf-8x8-4stageSEN-02.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","1791.85","3948588","","","","","","",
"statistics","ootime","killed","bfs","sat-like","20","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","1790.42","3946608","","","","","","",
"statistics","done","","bfs","sat-like","20","true","true","Philosophers-500.pnml","2500","2500","8000","0","tg,bs,hf","0.520","2500","2500","18686","18686","23.780","3.636029179587e+238","16679","16000","22119","14000","26.12","3202888",
"performance","done","","bfs-prev","sat-like","20","true","true","lamport_fmea-2.pnml","69","96","402","0","tg,bs,hf","0.000","69","96","2022","2022","0.080","380","888","344","723","409","0.09","2891300",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","2D8_gradient_40x40_100.pnml","1600","12324","24648","0","tg,bs,hf","3.680","1600","12324","","","","","","","","","1793.14","4062860","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","2D8_gradient_50x50_150.pnml","2500","19404","38808","0","tg,bs,hf","7.210","2500","19404","","","","","","","","","1793.01","4225624","","","","","","",
"statistics","ootime","killed","chain","sat-like","20","true","true","sg-13-6-13.pnml","2301","2756","11024","0","tg,bs,hf","0.750","2301","2756","","","","","","","","","1784.42","3982376","","","","","","",
"performance","done","","bfs","sat-like","20","true","true","2D8_gradient_20x20_10.pnml","400","2964","5928","0","tg,bs,hf","0.300","400","2964","96046","96046","573.850","3.23081977575776e+19","26290","251940","228228","195624","574.66","3866040",
"statistics","ootime","killed","chain","sat-like","20","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.810","1408","2400","","","","","","","","","1791.77","3966368","","","","","","",
"performance","done","","chain","sat-like","20","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.000","139","87","7165","7165","1.480","902651904000","4834","772","1081","751","1.50","2894916",
"performance","done","","bfs","sat-like","20","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.000","65","97","2454","2454","0.070","31745","657","407","275","260","0.08","2891168",
"performance","done","","chain","sat-like","20","true","true","CircularTrain-096.pnml","192","96","384","0","tg,bs,hf","0.010","192","96","18122","18122","7.180","2.59130027829661e+21","16297","896","1102","928","7.20","2908016",
"performance","done","","chain","sat-like","20","true","true","RAS-C-15.pnml","90","60","264","0","tg,bs,hf","0.000","90","60","526","526","0.040","578878464","768","528","908","746","0.06","2814472",
"performance","oomem","mddtable","chain","sat-like","20","true","true","QCertifProtocol_22-unfold.pnml","1966","356","4323","0","tg,bs,hf","0.470","1966","356","","","","","","","","","577.05","3956492","","","","","","",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","PolyORB-LF-S06-J06-T08-unfolded.pnml","894","14334","119772","0","tg,bs,hf","1159.210","894","14334","","","","","","","","","1796.83","3257808","","","","","","",
"performance","done","","chain","sat-like","20","true","true","shared_memory-pt-5.pnml","41","55","200","0","tg,bs,hf","0.000","41","55","216","216","0.010","1863","464","390","539","340","0.02","2762784",
"statistics","done","","chain","sat-like","20","true","true","rwmutex-r20w10.pnml","80","60","560","0","tg,bs,hf","0.010","80","60","172","172","16.530","1048586","1608","1120","1550","20971660","16.55","2891540",
"performance","ootime","killed","chain","sat-like","20","true","true","PolyORB-LF-S04-J04-T10-unfolded.pnml","870","5034","34774","0","tg,bs,hf","48.030","870","5034","","","","","","","","","1795.79","3083060","","","","","","",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","BridgeAndVehicles-V80-P50-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","18.530","198","3728","","","","","","","","","1796.76","3433276","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","RAS-R-100.pnml","400","202","1000","0","tg,bs,hf","0.020","400","202","134450","134450","15.780","6.46501806116397e+31","1391","2000","2598","1596","15.84","2977664",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","TokenRing-30-unfolded.pnml","961","27931","111724","0","tg,bs,hf","90.070","961","27931","","","","","","","","","1796.46","3584956","","","","","","",
"statistics","error","boostperm","bfs","sat-like","20","true","true","eratosthenes-050.pnml","49","108","324","0","tg,bs,hf","","","","","","","","","","","","0.02","92","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","Peterson-6.pnml","1330","2030","6272","0","tg,bs,hf","0.740","1330","2030","","","","","","","","","1797.24","3183544","","","","","","",
"statistics","sigsegfault","sendinfo","bfs-prev","sat-like","20","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","38.95","158660","","","","","","",
"performance","ootime","killed","bfs","sat-like","20","true","true","galloc_res-5.pnml","75","56105","492760","0","tg,bs,hf","","","","","","","","","1795.21","1047960","","","","","","",
"statistics","done","","chain","sat-like","20","true","true","erk-000001.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","55","55","0.000","13","27","68","79","43","0.00","1553164",
"performance","done","","chain","sat-like","20","true","true","SwimmingPool-1.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","168","168","0.190","89621","6729","1705","1365","5327","0.20","2888660",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","echo-d2r11.pnml","1119","874","4996","0","tg,bs,hf","0.200","1119","874","","","","","","","","","1791.46","3952204","","","","","","",
"statistics","done","","chain-prev","sat-like","20","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","204","204","0.020","1501","349","248","248","208","0.02","2798496",
"performance","done","","bfs-prev","sat-like","20","true","true","TokenRing-10-unfolded.pnml","121","1111","4444","0","tg,bs,hf","0.230","121","1111","74573","74573","2.440","58905","3160","2040","8696","5838","2.77","2902740",
"performance","done","","chain-prev","sat-like","20","true","true","BridgeAndVehicles-V20-P10-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.310","68","548","40677","40677","714.650","58718346","628778","11189","32941","160762","715.18","3928696",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","echo-d3r3.pnml","265","206","1252","0","tg,bs,hf","0.030","265","206","","","","","","","","","1793.54","3943480","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","2D8_gradient_5x5_350.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","1786.80","3941932","","","","","","",
"statistics","ootime","killed","bfs-prev","sat-like","20","true","true","Kanban-100.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1762.18","3941288","","","","","","",
"statistics","done","","bfs","sat-like","20","true","true","SwimmingPool-2.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","1407","1407","39.810","3408031","62174","6035","4735","35247","39.84","2958044",
"statistics","ootime","killed","chain-prev","sat-like","20","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.010","39","64","","","","","","","","","1794.64","3558732","","","","","","",
"performance","oomem","cache","bfs","sat-like","20","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","42.780","25000","25000","","","","","","","","","54.11","3252144","","","","","","",
"statistics","ootime","killed","bfs","sat-like","20","true","true","PolyORB-LF-S06-J04-T06-unfolded.pnml","632","10500","88770","0","tg,bs,hf","499.820","632","10500","","","","","","","","","1794.54","3568528","","","","","","",
"performance","done","","chain-prev","sat-like","20","true","true","IOTP_c1m1p1d1.pnml","111","45","224","0","tg,bs,hf","0.000","111","45","855","855","0.040","204","629","446","568","177","0.04","2651956",
"statistics","ootime","killed","chain-prev","sat-like","20","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.380","476","920","","","","","","","","","1794.57","3947484","","","","","","",
"statistics","ootime","killed","bfs-prev","sat-like","20","true","true","BridgeAndVehicles-V20-P10-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","6.500","108","2228","","","","","","","","","1795.69","3971976","","","","","","",
"performance","done","","chain-prev","sat-like","20","true","true","distributeur-01-unfolded-02.pnml","24","72","440","0","tg,bs,hf","0.000","24","72","402","402","0.010","4096","52","880","936","744","0.03","2737948",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.150","900","6844","","","","","","","","","1740.42","3987916","","","","","","",
"statistics","ootime","killed","chain-prev","sat-like","20","true","true","Peterson-5.pnml","834","1242","3828","0","tg,bs,hf","2.550","834","1242","","","","","","","","","1795.32","3289392","","","","","","",
"statistics","ootime","killed","bfs-prev","sat-like","20","true","true","PolyORB-LF-S04-J04-T06-unfolded.pnml","554","2998","20754","0","tg,bs,hf","14.270","554","2998","","","","","","","","","1794.88","3992860","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","FMS-5.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","1107","1107","0.110","2895018","432","580","525","543","0.11","2888776",
"statistics","ootime","killed","chain-prev","sat-like","20","true","true","erk-001000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","1794.62","3939224","","","","","","",
"statistics","done","","chain-prev","sat-like","20","true","true","rwmutex-r10w100.pnml","230","220","2460","0","tg,bs,hf","0.200","230","220","1652","1652","0.450","1124","883","4920","6922","205060","0.69","2894704",
"performance","done","","bfs-prev","sat-like","20","true","true","2D8_gradient_40x40_10.pnml","1600","12324","24648","0","tg,bs,hf","3.560","1600","12324","305842","305842","1049.400","3.11621362935612e+25","105490","1047540","948948","813384","1058.96","4066616",
"statistics","done","","bfs-prev","sat-like","20","true","true","rwmutex-r10w100.pnml","230","220","2460","0","tg,bs,hf","0.180","230","220","1748","1748","0.490","1124","883","4920","6922","205060","0.70","2894788",
"performance","ootime","killed","chain","sat-like","20","true","true","erk-100000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","1795.04","3939188","","","","","","",
"performance","oomem","mddtable","chain","sat-like","20","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.010","75","92","","","","","","","","","847.09","3940616","","","","","","",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","angiogenesis-25.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1793.63","3915004","","","","","","",
