"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-loop","2147483647","firewire_link.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.06","8276","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","fischer.7","dve2C","tg,bs,hf","0.000","","","","","","18","49","5439","5439","78.520","386297005","15741","306","782","392553","78.53","3581164","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","peterson.6","dve2C","tg,bs,hf","0.000","","","","","","20","28","2296","2296","45.560","174495861","64009","865","536","30916","45.59","3392608","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","2147483647","firewire_link.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.12","10412","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","lann.3","dve2C","tg,bs,hf","0.000","","","","","","20","40","2040","2040","1.380","1832139","1819","187","368","638","1.40","2913468","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","4187","4187","0.320","25685","1040","332","3479","5294","0.33","2895124","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","bridge.3","dve2C","tg,bs,hf","0.010","","","","","","14","81","1944","1944","14.580","838864","54244","5338","15241","204567","14.62","2948336","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","synapse.1","dve2C","tg,bs,hf","0.010","","","","","","22","131","3537","3537","1.300","46756","13144","1203","9780","26496","1.33","2895268","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","firewire_link.5","dve2C","tg,bs,hf","0.090","","","","","","50","610","54900","54900","94.290","18553032","96869","2754","176472","458211","94.45","3035180","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","blocks.2","dve2C","tg,bs,hf","0.000","","","","","","14","20","400","400","0.490","7057","2716","734","1052","3477","0.50","2892984","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","2054","2054","0.340","12642","2429","338","3351","5285","0.35","2893120","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","pgm_protocol.4","dve2C","tg,bs,hf","0.020","","","","","","122","120","48000","48000","23.280","39832","58129","4941","17699","36106","23.33","2953144","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","firewire_link.2","dve2C","tg,bs,hf","0.060","","","","","","35","412","20188","20188","1.910","55887","5113","1551","80141","122268","1.99","2899492","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","msmie.4","dve2C","tg,bs,hf","0.030","","","","","","28","450","28350","28350","1.850","7125441","2737","2836","14657","45470","1.88","2903636","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","protocols.3","dve2C","tg,bs,hf","0.000","","","","","","16","18","630","630","0.030","2817","262","171","165","336","0.03","2892856","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","lamport_nonatomic.4","dve2C","tg,bs,hf","0.010","","","","","","24","244","13908","13908","3.790","1257304","4075","869","5791","13740","3.82","2924472","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","6230","6230","229.580","142471098","64853","5334","5534","159088","229.62","3838072","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","iprotocol.7","dve2C","tg,bs,hf","0.000","","","","","","41","35","5635","5635","198.620","59794192","308689","7113","24078","121751","198.73","3589376","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","2147483647","elevator_planning.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","390","390","0.000","581","148","150","227","290","0.01","2484292","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","2147483647","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","88","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","2147483647","production_cell.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","lifts.2","dve2C","tg,bs,hf","0.000","","","","","","22","135","7965","7965","0.460","2664","3557","918","11223","15998","0.46","2893304","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","extinction.4","dve2C","tg,bs,hf","0.000","","","","","","49","120","17280","17280","59.810","2001372","155410","1208","3452","5543","59.87","3219052","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","krebs.2","dve2C","tg,bs,hf","0.000","","","","","","19","16","544","544","1.300","62476","6670","7193","8305","58311","1.32","2905152","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","leader_election.2","dve2C","tg,bs,hf","0.000","","","","","","91","95","6555","6555","1.500","28720","7830","3463","4754","4903","1.52","2893492","","","","","","","","",
"statistics","done","","bfs-prev","sat-loop","2147483647","peterson.5","dve2C","tg,bs,hf","0.000","73","1804","2186","6.5603","6.9932","20","28","2660","2660","12.230","131064750","10285","798","762","28983","12.52","3052772","103149","16418393","1745300","18081436","1023160","941","","","12325590",
"performance","done","","chain-prev","sat-loop","2147483647","leader_filters.7","dve2C","tg,bs,hf","0.000","","","","","","30","60","2040","2040","94.380","26302351","931027","2786","6219","103194","94.65","3499268","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","6195","6195","123.820","142471098","64853","5334","5534","159088","123.85","3833676","","","","","","","","",
