"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","peak.nodes","timeBest","memBest","timeMark","memMark"
"2D8_gradient_10x10_100","pnml","chain","sat-like",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-like",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-like",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-like",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",1,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-loop",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","none",,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",1,1510.256,611.026679399335,2,,1407.427,505000,1.07306169343064,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-like",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",1,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain-prev","sat-loop",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
