"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"statistics","ootime","explore","chain","sat-like","2147483647","true","true","rwmutex-r1000w10.pnml","3020","2020","26040","0","tg,bs,hf","300.440","3020","2020","","","","","","","","","1795.82","2959400","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","closed_system2.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","75144","75144","36.310","349874","8904","1446","1944","1053","36.36","3108024",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.460","138","2348","","","","","","","","","1795.43","3965880","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","unf-8x8-4stageSEN-02.pnml","168","592","3456","0","tg,bs,hf","0.240","168","592","","","","","","","","","1793.43","3948668","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.230","168","592","","","","","","","","","1793.61","3938432","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","Philosophers-500.pnml","2500","2500","8000","0","tg,bs,hf","0.560","2500","2500","","","","","","","","","1772.97","3982708","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","lamport_fmea-2.pnml","69","96","402","0","tg,bs,hf","0.010","69","96","2304","2304","0.120","380","888","344","723","409","0.14","2891532",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","2D8_gradient_40x40_100.pnml","1600","12324","24648","0","tg,bs,hf","3.220","1600","12324","","","","","","","","","1792.33","4062652","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","2D8_gradient_50x50_150.pnml","2500","19404","38808","0","tg,bs,hf","7.050","2500","19404","","","","","","","","","1794.92","4225308","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","sg-13-6-13.pnml","2301","2756","11024","0","tg,bs,hf","0.830","2301","2756","","","","","","","","","133.84","3983984","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","2D8_gradient_20x20_10.pnml","400","2964","5928","0","tg,bs,hf","0.310","400","2964","","","","","","","","","1792.40","3958196","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.740","1408","2400","","","","","","","","","169.48","3964424","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.000","139","87","2175","2175","113.380","902651904000","4834","772","1081","751","113.40","3579492",
"performance","done","","bfs","sat-like","2147483647","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.000","65","97","3104","3104","0.170","31745","657","407","275","260","0.18","2891704",
