"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain","sat-loop","5","bridge.3","dve2C","tg,bs,hf","0.000","","","","","","14","81","7172","7172","28.250","838864","54244","5338","15241","204567","28.28","2944236","","","","","","","","",
"performance","done","","chain","sat-loop","5","synapse.1","dve2C","tg,bs,hf","0.010","","","","","","22","131","7798","7798","1.580","46756","13144","1203","9780","26496","1.60","2897224","","","","","","","","",
"performance","done","","chain","sat-loop","5","firewire_link.5","dve2C","tg,bs,hf","0.110","","","","","","50","610","121426","121426","96.020","18553032","96869","2754","176472","458211","96.19","3016748","","","","","","","","",
"performance","done","","bfs","sat-loop","5","blocks.2","dve2C","tg,bs,hf","0.000","","","","","","14","20","561","561","0.770","7057","2716","734","1052","3477","0.79","2892980","","","","","","","","",
"performance","done","","chain","sat-loop","5","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","4622","4622","0.390","12642","2429","338","3351","5285","0.41","2893116","","","","","","","","",
"performance","done","","bfs","sat-loop","5","pgm_protocol.4","dve2C","tg,bs,hf","0.020","","","","","","122","120","41371","41371","13.250","39832","58129","4941","17699","36106","13.30","2908088","","","","","","","","",
"performance","done","","chain","sat-loop","5","firewire_link.2","dve2C","tg,bs,hf","0.050","","","","","","35","412","34638","34638","2.010","55887","5113","1551","80141","122268","2.09","2897472","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","msmie.4","dve2C","tg,bs,hf","0.020","","","","","","28","450","12884","12884","0.430","7125441","2737","2836","14657","45470","0.47","2897440","","","","","","","","",
"performance","done","","bfs","sat-loop","5","protocols.3","dve2C","tg,bs,hf","0.000","","","","","","16","18","388","388","0.010","2817","262","171","165","336","0.02","2892800","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","lamport_nonatomic.4","dve2C","tg,bs,hf","0.010","","","","","","24","244","16472","16472","3.050","1257304","4075","869","5791","13740","3.06","2918328","","","","","","","","",
"performance","done","","bfs","sat-loop","5","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","16398","16398","172.760","142471098","64853","5334","5534","159088","172.78","3728556","","","","","","","","",
"performance","done","","chain","sat-loop","5","iprotocol.7","dve2C","tg,bs,hf","0.000","","","","","","41","35","9563","9563","147.780","59794192","308689","7113","24078","121751","147.89","3269856","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","elevator_planning.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","84","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","410","410","0.010","581","148","150","227","290","0.01","2847832","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","5","production_cell.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs","sat-loop","5","lifts.2","dve2C","tg,bs,hf","0.010","","","","","","22","135","7453","7453","0.350","2664","3557","918","11223","15998","0.37","2893292","","","","","","","","",
"performance","done","","bfs","sat-loop","5","extinction.4","dve2C","tg,bs,hf","0.000","","","","","","49","120","8624","8624","24.540","2001372","155410","1208","3452","5543","24.60","2977428","","","","","","","","",
"performance","done","","chain","sat-loop","5","krebs.2","dve2C","tg,bs,hf","0.010","","","","","","19","16","341","341","0.500","62476","6670","7193","8305","58311","0.52","2899012","","","","","","","","",
"performance","done","","chain","sat-loop","5","leader_election.2","dve2C","tg,bs,hf","0.010","","","","","","91","95","5869","5869","1.070","28720","7830","3463","4754","4903","1.08","2895484","","","","","","","","",
"statistics","done","","bfs-prev","sat-loop","5","peterson.5","dve2C","tg,bs,hf","0.000","73","1804","2186","6.5603","6.9932","20","28","3456","3456","3.080","131064750","10285","798","762","28983","3.22","2933976","27051","5206812","1356419","7908641","764501","942","","","2956002",
"performance","done","","chain-prev","sat-loop","5","leader_filters.7","dve2C","tg,bs,hf","0.000","","","","","","30","60","6931","6931","75.820","26302351","931027","2786","6219","103194","76.09","3448088","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","16372","16372","81.130","142471098","64853","5334","5534","159088","81.15","3710128","","","","","","","","",
"performance","error","boostperm","bfs","sat-loop","5","szymanski.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","bfs","sat-loop","5","resistance.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","plc.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4932","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","5","elevator.5","dve2C","tg,bs,hf","0.000","","","","","","54","68","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-loop","5","peterson.5","dve2C","tg,bs,hf","0.000","","","","","","20","28","3475","3475","5.360","131064750","10285","798","762","28983","5.37","2952288","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","brp2.6","dve2C","tg,bs,hf","0.000","","","","","","19","33","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","3928","3928","10.490","416935","156712","1605","3030","15660","10.55","2957028","","","","","","","","",
"performance","done","","chain","sat-loop","5","brp2.1","dve2C","tg,bs,hf","0.000","","","","","","19","33","10481","10481","4.900","42285","27630","3911","6343","15670","4.92","2905276","","","","","","","","",
"performance","error","sigsegfault","chain-prev","sat-loop","5","sokoban.3","dve2C","tg,bs,hf","0.030","","","","","","213","9","","","","","","","","","0.03","218236","","","","","","","","",
