"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","oomem","cache","bfs","sat-like","30","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","45.860","25000","25000","","","","","","","","","57.71","3252052","","","","","","",
"performance","ootime","explore","bfs","sat-like","30","true","true","PolyORB-LF-S06-J04-T06-unfolded.pnml","632","10500","88770","0","tg,bs,hf","478.150","632","10500","","","","","","","","","1795.06","4010888","","","","","","",
"performance","done","","chain-prev","sat-like","30","true","true","IOTP_c1m1p1d1.pnml","111","45","224","0","tg,bs,hf","0.000","111","45","1017","1017","0.050","204","629","446","568","177","0.06","2867000",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.360","476","920","","","","","","","","","1795.22","3951584","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","BridgeAndVehicles-V20-P10-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","6.530","108","2228","","","","","","","","","1793.97","3973616","","","","","","",
"performance","done","","chain-prev","sat-like","30","true","true","distributeur-01-unfolded-02.pnml","24","72","440","0","tg,bs,hf","0.000","24","72","360","360","0.010","4096","52","880","936","744","0.03","2721560",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.150","900","6844","","","","","","","","","1794.75","3980516","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","30","true","true","Peterson-5.pnml","834","1242","3828","0","tg,bs,hf","2.550","834","1242","","","","","","","","","1795.98","3494196","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","PolyORB-LF-S04-J04-T06-unfolded.pnml","554","2998","20754","0","tg,bs,hf","13.170","554","2998","","","","","","","","","1794.74","3990952","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","FMS-5.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","1420","1420","0.230","2895018","432","580","525","543","0.24","2891200",
"statistics","ootime","explore","chain-prev","sat-like","30","true","true","erk-001000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","1795.02","3939204","","","","","","",
"performance","done","","chain-prev","sat-like","30","true","true","rwmutex-r10w100.pnml","230","220","2460","0","tg,bs,hf","0.190","230","220","1208","1208","0.450","1124","883","4920","6922","205060","0.66","2894768",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","2D8_gradient_40x40_10.pnml","1600","12324","24648","0","tg,bs,hf","3.200","1600","12324","","","","","","","","","1786.42","4066600","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","rwmutex-r10w100.pnml","230","220","2460","0","tg,bs,hf","0.210","230","220","1352","1352","0.550","1124","883","4920","6922","205060","0.82","2895228",
"performance","ootime","explore","chain","sat-like","30","true","true","erk-100000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","1793.72","3939184","","","","","","",
"performance","oomem","mddtable","chain","sat-like","30","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.010","75","92","","","","","","","","","1005.38","3940616","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","angiogenesis-25.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1785.03","3932704","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","MAPK-160.pnml","22","30","90","0","tg,bs,hf","0.000","22","30","","","","","","","","","1792.14","3939540","","","","","","",
